CustomerID,PurchaseCount,TotalSpent,AvgUnitPrice,UniqueItems,Cluster
12346.0,1,77183.6,1.04,1,1
12347.0,7,4310.0,2.644010989010989,103,0
12348.0,4,1797.24,5.764838709677419,22,0
12349.0,1,1757.55,8.289041095890411,73,0
12350.0,1,334.4,3.841176470588235,17,0
12352.0,8,2506.04,15.93070588235294,59,0
12353.0,1,89.0,6.074999999999999,4,0
12354.0,1,1079.4,4.5037931034482765,58,0
12355.0,1,459.4,4.203846153846154,13,0
12356.0,3,2811.43,3.201186440677966,53,0
12357.0,1,6207.67,3.3486259541984733,131,0
12358.0,2,1168.06,8.27421052631579,13,0
12359.0,4,6372.58,8.620403225806452,214,1
12360.0,3,2662.06,3.54968992248062,105,0
12361.0,1,189.9,3.335,10,0
12362.0,10,5226.23,3.94093984962406,201,1
12363.0,2,552.0,2.3117391304347827,23,0
12364.0,4,1313.1,1.910235294117647,70,0
12365.0,2,641.38,17.150454545454547,22,0
12367.0,1,168.9,3.2,11,0
12370.0,4,3545.69,2.800299401197605,143,1
12371.0,2,1887.96,3.8742857142857146,63,0
12372.0,3,1298.04,3.001346153846154,34,0
12373.0,1,364.6,4.582142857142857,14,0
12374.0,1,742.9300000000001,4.21969696969697,33,0
12375.0,2,457.5,6.912941176470589,14,0
12377.0,2,1628.12,2.718831168831169,72,0
12378.0,1,4008.62,2.9974429223744297,219,1
12379.0,2,852.24,2.86625,39,0
12380.0,4,2724.81,3.378653846153846,77,0
12381.0,5,1845.31,4.683218390804598,70,0
12383.0,5,1850.56,3.086969696969697,84,0
12384.0,2,585.27,7.87925925925926,26,0
12386.0,2,401.9,2.391,10,0
12388.0,6,2780.66,2.7777,57,0
12390.0,1,549.84,3.996875,32,0
12391.0,1,460.89,2.4599,92,0
12393.0,4,1582.6,2.2796875,47,0
12394.0,2,1272.48,3.3707407407407404,26,0
12395.0,12,3018.63,3.9688461538461537,91,1
12397.0,2,2409.9,3.4682539682539684,110,0
12398.0,1,1635.66,1.992705882352941,85,0
12399.0,4,1108.65,2.1145762711864404,47,0
12401.0,1,84.3,9.68,5,0
12402.0,1,225.6,3.290909090909091,11,0
12403.0,1,427.7,7.080000000000001,5,0
12405.0,1,1710.39,3.54425925925926,54,0
12406.0,2,3415.3,2.487047619047619,92,0
12407.0,5,1708.12,3.2674025974025973,57,0
12408.0,5,2888.55,3.0228571428571427,81,0
12409.0,3,11072.67,3.574495412844037,91,0
12410.0,2,693.3299999999999,6.335384615384616,26,0
12412.0,3,1226.88,2.7137704918032783,43,0
12413.0,3,758.1,4.798421052631579,29,0
12414.0,3,562.41,8.57,16,0
12415.0,21,124914.53,2.937086834733893,444,2
12417.0,9,3649.1,5.337916666666666,158,1
12418.0,1,668.58,3.5644117647058824,34,0
12420.0,1,600.39,4.707241379310345,29,0
12421.0,4,807.04,4.520222222222222,32,0
12422.0,3,803.5600000000001,3.26025641025641,39,0
12423.0,8,1859.31,2.9136,97,0
12424.0,2,1760.96,2.780666666666667,30,0
12425.0,1,777.2,2.5644444444444443,36,0
12426.0,1,582.73,3.936333333333333,30,0
12427.0,3,825.8,4.589032258064516,26,0
12428.0,9,7956.46,4.627414965986395,258,1
12429.0,4,3750.4,3.630721649484536,82,0
12430.0,1,256.4,6.225454545454546,11,0
12431.0,15,6487.45,3.785063829787234,163,1
12432.0,5,5059.32,10.550833333333332,107,0
12433.0,7,13375.87,2.1927380952380955,219,1
12434.0,2,806.14,3.6726,46,0
12435.0,2,7829.89,5.479166666666667,31,0
12436.0,1,509.01,5.2675,16,0
12437.0,18,4951.41,4.012562814070352,118,1
12438.0,2,2906.85,3.894897959183673,84,0
12441.0,1,173.55,3.700909090909091,11,0
12442.0,1,172.06,3.34,12,0
12444.0,5,5005.46,6.3586931818181816,138,1
12445.0,1,133.4,7.9875,4,0
12446.0,1,1002.31,4.352631578947368,57,0
12447.0,1,476.49,3.5742307692307693,26,0
12448.0,1,449.45,5.951818181818182,22,0
12449.0,4,4067.29,3.694712041884817,118,0
