epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,48.1374,0.61506,2.88646,1.29807,0.01146,1,0.39671,0.36254,0.28823,3.19608,0.85836,0.000325,0.000325,0.000325
2,93.529,0.41054,2.17376,1.08815,0.01071,1,0.53305,0.48988,0.38709,2.89721,0.98007,0.000649382,0.000649382,0.000649382
3,138.771,0.40899,1.71383,1.08241,0.76685,0.4961,0.66568,0.63772,0.29345,2.07673,0.8071,0.0009604,0.0009604,0.0009604
4,183.861,0.41251,1.51295,1.05631,0.54148,0.66698,0.53172,0.48193,0.45484,2.3202,0.97373,0.00117575,0.00117575,0.00117575
5,228.963,0.37914,1.41403,1.03972,0.32203,0.40401,0.35019,0.27192,0.49642,2.3276,1.07633,0.001151,0.001151,0.001151
6,286.432,0.3333,1.29623,1.0084,0.52544,0.77917,0.71786,0.61848,0.52629,1.91393,1.39323,0.00112625,0.00112625,0.00112625
7,343.913,0.31545,1.19688,1.00799,0.85878,0.76445,0.86213,0.7681,0.44736,1.18718,1.06368,0.0011015,0.0011015,0.0011015
8,394.383,0.32746,1.12626,0.99804,0.56419,0.84375,0.76891,0.76042,0.25586,1.1223,0.7343,0.00107675,0.00107675,0.00107675
9,440.313,0.31453,1.08996,1.00409,0.58806,0.66456,0.60535,0.58261,0.31784,2.88235,0.81706,0.001052,0.001052,0.001052
10,498.331,0.3131,1.09774,0.99269,0.79921,0.87565,0.79386,0.75653,0.27204,1.33796,0.74837,0.00102725,0.00102725,0.00102725
11,556.576,0.29725,1.01202,0.98394,0.65554,0.74771,0.77128,0.7624,0.28005,1.47571,0.726,0.0010025,0.0010025,0.0010025
12,607.091,0.31487,1.03012,0.99385,0.75394,0.68879,0.77984,0.75454,0.32141,1.20723,0.77951,0.00097775,0.00097775,0.00097775
13,652.093,0.28989,0.97589,0.986,0.81387,0.82036,0.92502,0.92422,0.2159,0.8791,0.65702,0.000953,0.000953,0.000953
14,709.478,0.26734,0.9491,0.96859,0.89505,0.82178,0.93808,0.93808,0.21863,0.63675,0.64596,0.00092825,0.00092825,0.00092825
15,766.948,0.27554,0.89863,0.97479,0.91713,0.94676,0.96769,0.96586,0.19948,0.58186,0.63631,0.0009035,0.0009035,0.0009035
16,816.867,0.26594,0.88958,0.97208,0.60619,0.80068,0.85363,0.83725,0.28559,1.96545,0.74796,0.00087875,0.00087875,0.00087875
17,861.813,0.2619,0.89261,0.96378,0.61391,0.88366,0.88455,0.87957,0.20747,0.67701,0.6373,0.000854,0.000854,0.000854
18,906.813,0.25243,0.88377,0.95422,0.86208,0.80184,0.96565,0.95047,0.28287,0.57994,0.72612,0.00082925,0.00082925,0.00082925
19,951.819,0.26156,0.85545,0.96748,0.91871,0.95604,0.96116,0.93475,0.31832,0.40521,0.77778,0.0008045,0.0008045,0.0008045
20,996.816,0.25972,0.8016,0.96163,0.80162,0.81667,0.88928,0.88762,0.20555,0.84976,0.63578,0.00077975,0.00077975,0.00077975
21,1041.83,0.25051,0.81749,0.95757,0.96238,0.96667,0.96015,0.95517,0.18043,0.36788,0.61997,0.000755,0.000755,0.000755
22,1089.41,0.22859,0.77655,0.9388,0.93886,0.91561,0.95918,0.95087,0.22087,0.42106,0.64682,0.00073025,0.00073025,0.00073025
23,1136.97,0.24238,0.79369,0.95922,0.93764,0.93476,0.9545,0.95123,0.18055,0.36055,0.59904,0.0007055,0.0007055,0.0007055
24,1183.68,0.23069,0.7687,0.94485,0.89535,0.90358,0.96983,0.96651,0.20289,0.57062,0.62313,0.00068075,0.00068075,0.00068075
25,1230.28,0.22734,0.77459,0.94773,0.93918,0.94382,0.96977,0.96673,0.15496,0.32826,0.57129,0.000656,0.000656,0.000656
26,1276.21,0.22869,0.73208,0.94127,0.92669,0.91504,0.97242,0.9704,0.18134,0.33817,0.61614,0.00063125,0.00063125,0.00063125
27,1321.24,0.22563,0.71558,0.93812,0.86024,0.90705,0.97623,0.97264,0.21098,0.45094,0.63089,0.0006065,0.0006065,0.0006065
28,1371.18,0.22549,0.70993,0.95164,0.96584,0.96176,0.96572,0.95735,0.238,0.28434,0.67092,0.00058175,0.00058175,0.00058175
29,1416.16,0.22732,0.68206,0.94492,0.96419,0.95343,0.98149,0.98006,0.15112,0.26466,0.56613,0.000557,0.000557,0.000557
30,1466.27,0.21027,0.66905,0.94229,0.95256,0.96349,0.96654,0.96654,0.14336,0.29829,0.56313,0.00053225,0.00053225,0.00053225
31,1514.07,0.21096,0.69358,0.93305,0.84669,0.95767,0.95261,0.94882,0.19047,0.37774,0.60142,0.0005075,0.0005075,0.0005075
32,1559.24,0.21621,0.66496,0.92626,0.94352,0.90312,0.95844,0.95359,0.1822,0.38334,0.59897,0.00048275,0.00048275,0.00048275
33,1605.92,0.20018,0.67542,0.92588,0.76003,0.89519,0.95353,0.94756,0.24066,0.90507,0.65092,0.000458,0.000458,0.000458
34,1653.46,0.20109,0.6173,0.93227,0.95003,0.91441,0.97843,0.97162,0.2002,0.2781,0.62425,0.00043325,0.00043325,0.00043325
35,1700.94,0.20853,0.60987,0.93027,0.96446,0.96438,0.97601,0.97284,0.14998,0.27595,0.57252,0.0004085,0.0004085,0.0004085
36,1745.89,0.20531,0.61296,0.93574,0.95718,0.95249,0.97268,0.97001,0.12969,0.24242,0.55345,0.00038375,0.00038375,0.00038375
37,1790.81,0.20085,0.64759,0.94009,0.94326,0.95424,0.96913,0.96435,0.17159,0.27326,0.5901,0.000359,0.000359,0.000359
38,1838.38,0.19415,0.59708,0.93184,0.96712,0.96667,0.96675,0.9636,0.12689,0.23399,0.54347,0.00033425,0.00033425,0.00033425
39,1896.39,0.19161,0.60023,0.92874,0.96262,0.95837,0.98236,0.97909,0.14503,0.25519,0.56759,0.0003095,0.0003095,0.0003095
40,1953.07,0.17987,0.55567,0.92244,0.9015,0.96295,0.97821,0.97493,0.13185,0.33695,0.54755,0.00028475,0.00028475,0.00028475
